match_id,date,season_id,home,away,home_goals,away_goals,home_xg,away_xg
sr:sport_event:42824593,2023-09-07T22:30:00+00:00,sr:season:109025,Paraguay,Peru,0,0,1.89,0.284
sr:sport_event:42824595,2023-09-07T23:00:00+00:00,sr:season:109025,Colombia,Venezuela,1,0,2.045,0.36
sr:sport_event:42824599,2023-09-08T00:00:00+00:00,sr:season:109025,Argentina,Ecuador,1,0,0.978,0.584
sr:sport_event:42824601,2023-09-08T23:00:00+00:00,sr:season:109025,Uruguay,Chile,3,1,2.795,0.531
sr:sport_event:42824603,2023-09-09T00:45:00+00:00,sr:season:109025,Brazil,Bolivia,5,1,3.394,0.363
sr:sport_event:42824605,2023-09-12T20:00:00+00:00,sr:season:109025,Bolivia,Argentina,0,3,0.207,1.442
sr:sport_event:42824607,2023-09-12T21:00:00+00:00,sr:season:109025,Ecuador,Uruguay,2,1,1.438,0.223
sr:sport_event:42824609,2023-09-12T22:00:00+00:00,sr:season:109025,Venezuela,Paraguay,1,0,1.534,2.427
sr:sport_event:42824611,2023-09-13T00:30:00+00:00,sr:season:109025,Chile,Colombia,0,0,0.893,0.527
sr:sport_event:42824613,2023-09-13T02:00:00+00:00,sr:season:109025,Peru,Brazil,0,1,0.457,1.193
sr:sport_event:43577453,2023-10-12T23:00:00+00:00,sr:season:109025,Bolivia,Ecuador,1,2,0.878,0.72
sr:sport_event:43577457,2023-10-12T20:30:00+00:00,sr:season:109025,Colombia,Uruguay,2,2,2.425,1.281
sr:sport_event:43577461,2023-10-13T00:30:00+00:00,sr:season:109025,Brazil,Venezuela,1,1,1.11,1.197
sr:sport_event:43577463,2023-10-12T23:00:00+00:00,sr:season:109025,Argentina,Paraguay,1,0,1.246,0.378
sr:sport_event:43577479,2023-10-17T22:30:00+00:00,sr:season:109025,Paraguay,Bolivia,1,0,1.659,0.398
sr:sport_event:43577481,2023-10-17T23:30:00+00:00,sr:season:109025,Ecuador,Colombia,0,0,0.643,0.598
sr:sport_event:43577487,2023-10-18T00:00:00+00:00,sr:season:109025,Uruguay,Brazil,2,0,0.0,0.0
sr:sport_event:43577489,2023-10-18T02:00:00+00:00,sr:season:109025,Peru,Argentina,0,2,0.606,0.945
sr:sport_event:44832256,2023-11-16T22:00:00+00:00,sr:season:109025,Venezuela,Ecuador,0,0,0.417,0.419
sr:sport_event:44832390,2023-11-17T00:00:00+00:00,sr:season:109025,Colombia,Brazil,2,1,2.593,1.503
sr:sport_event:44832392,2023-11-17T00:00:00+00:00,sr:season:109025,Argentina,Uruguay,0,2,0.886,0.797
sr:sport_event:44832396,2023-11-21T23:00:00+00:00,sr:season:109025,Paraguay,Colombia,0,1,1.343,1.279
sr:sport_event:44832398,2023-11-21T23:30:00+00:00,sr:season:109025,Uruguay,Bolivia,3,0,1.93,0.187
sr:sport_event:44832452,2023-11-21T23:30:00+00:00,sr:season:109025,Ecuador,Chile,1,0,0.823,0.526
sr:sport_event:44832454,2023-11-22T00:30:00+00:00,sr:season:109025,Brazil,Argentina,0,1,0.363,0.601
sr:sport_event:44832802,2023-11-17T00:30:00+00:00,sr:season:109025,Chile,Paraguay,0,0,1.024,0.95
sr:sport_event:45041608,2023-11-16T16:00:00+00:00,sr:season:112442,Egypt,Djibouti,6,0,0.0,0.0
sr:sport_event:45042094,2023-11-19T16:00:00+00:00,sr:season:112442,Sierra Leone,Egypt,0,2,0.0,0.0
sr:sport_event:45042492,2023-11-15T16:00:00+00:00,sr:season:112442,Congo DR,Mauritania,2,0,0.0,0.0
sr:sport_event:45042710,2023-11-18T19:00:00+00:00,sr:season:112442,Senegal,South Sudan,4,0,0.0,0.0
sr:sport_event:45042718,2023-11-19T16:00:00+00:00,sr:season:112442,Sudan,Congo DR,1,0,0.0,0.0
sr:sport_event:45042782,2023-11-21T16:00:00+00:00,sr:season:112442,Togo,Senegal,0,0,0.0,0.0
sr:sport_event:45042840,2023-11-18T13:00:00+00:00,sr:season:112442,South Africa,Benin,2,1,0.0,0.0
sr:sport_event:45042950,2023-11-21T13:00:00+00:00,sr:season:112442,Rwanda,South Africa,2,0,0.0,0.0
sr:sport_event:45042990,2023-11-16T19:00:00+00:00,sr:season:112442,Cape Verde,Angola,0,0,0.0,0.0
sr:sport_event:45043074,2023-11-21T14:15:00+00:00,sr:season:112442,Eswatini,Cape Verde,0,2,0.0,0.0
sr:sport_event:45043100,2023-11-21T19:00:00+00:00,sr:season:112442,Tanzania,Morocco,0,2,0.0,0.0
sr:sport_event:45043408,2023-11-17T19:00:00+00:00,sr:season:112442,Ivory Coast,Seychelles,9,0,0.0,0.0
sr:sport_event:45043420,2023-11-20T16:00:00+00:00,sr:season:112442,Gambia,Ivory Coast,0,2,0.0,0.0
sr:sport_event:45043428,2023-11-16T16:00:00+00:00,sr:season:112442,Algeria,Somalia,3,1,0.0,0.0
sr:sport_event:45043432,2023-11-19T13:00:00+00:00,sr:season:112442,Mozambique,Algeria,0,2,0.0,0.0
sr:sport_event:45043592,2023-11-17T19:00:00+00:00,sr:season:112442,Tunisia,Sao Tome and Principe,4,0,0.0,0.0
sr:sport_event:45043600,2023-11-21T13:00:00+00:00,sr:season:112442,Malawi,Tunisia,0,1,0.0,0.0
sr:sport_event:45043688,2023-11-17T16:00:00+00:00,sr:season:112442,Ghana,Madagascar,1,0,0.0,0.0
sr:sport_event:45043784,2023-11-21T16:00:00+00:00,sr:season:112442,Comoros,Ghana,1,0,0.0,0.0
sr:sport_event:47463107,2024-06-05T23:30:00+00:00,sr:season:115355,Curacao,Barbados,0,0,0.0,0.0
sr:sport_event:47463109,2024-06-06T21:00:00+00:00,sr:season:115355,Haiti,Saint Lucia,0,0,0.0,0.0
sr:sport_event:47463113,2024-06-09T00:00:00+00:00,sr:season:115355,Aruba,Curacao,0,0,0.0,0.0
sr:sport_event:47463115,2024-06-09T21:00:00+00:00,sr:season:115355,Barbados,Haiti,0,0,0.0,0.0
sr:sport_event:47463121,2025-06-06T23:30:00+00:00,sr:season:115355,Curacao,Saint Lucia,0,0,0.0,0.0
sr:sport_event:47463123,2025-06-07T21:00:00+00:00,sr:season:115355,Aruba,Haiti,0,0,0.0,0.0
sr:sport_event:47463127,2025-06-10T22:00:00+00:00,sr:season:115355,Haiti,Curacao,0,0,0.0,0.0
sr:sport_event:47463131,2024-06-07T00:30:00+00:00,sr:season:115355,Panama,Guyana,0,0,0.0,0.0
sr:sport_event:47463135,2024-06-10T01:00:00+00:00,sr:season:115355,Montserrat,Panama,0,0,0.0,0.0
sr:sport_event:47463195,2025-06-08T01:00:00+00:00,sr:season:115355,Belize,Panama,0,0,0.0,0.0
sr:sport_event:47463199,2025-06-11T00:00:00+00:00,sr:season:115355,Panama,Nicaragua,0,0,0.0,0.0
sr:sport_event:48855041,2025-09-05T19:00:00+00:00,sr:season:112442,Egypt,Ethiopia,2,0,0.0,0.0
sr:sport_event:48855049,2025-09-05T13:00:00+00:00,sr:season:112442,South Sudan,Congo DR,1,4,0.0,0.0
sr:sport_event:48855051,2024-06-06T19:00:00+00:00,sr:season:112442,Egypt,Burkina Faso,2,1,0.0,0.0
sr:sport_event:48855053,2025-09-05T19:00:00+00:00,sr:season:112442,Senegal,Sudan,2,0,0.0,0.0
sr:sport_event:48855057,2024-06-10T16:00:00+00:00,sr:season:112442,Guinea-Bissau,Egypt,1,1,0.0,0.0
sr:sport_event:48855063,2025-09-05T16:00:00+00:00,sr:season:112442,Lesotho,South Africa,0,3,0.0,0.0
sr:sport_event:48855073,2025-03-21T21:00:00+00:00,sr:season:112442,Ethiopia,Egypt,0,2,0.0,0.0
sr:sport_event:48855079,2025-03-25T19:00:00+00:00,sr:season:112442,Egypt,Sierra Leone,1,0,0.0,0.0
sr:sport_event:48855085,2025-09-04T16:00:00+00:00,sr:season:112442,Mauritius,Cape Verde,0,2,0.0,0.0
sr:sport_event:48855169,2025-09-05T19:00:00+00:00,sr:season:112442,Morocco,Niger,5,0,0.0,0.0
sr:sport_event:48855181,2025-09-05T19:00:00+00:00,sr:season:112442,Ivory Coast,Burundi,1,0,0.0,0.0
sr:sport_event:48855191,2025-09-04T19:00:00+00:00,sr:season:112442,Algeria,Botswana,3,1,0.0,0.0
sr:sport_event:48855193,2024-06-06T19:00:00+00:00,sr:season:112442,Senegal,Congo DR,1,1,0.0,0.0
sr:sport_event:48855195,2024-06-09T16:00:00+00:00,sr:season:112442,Congo DR,Togo,1,0,0.0,0.0
sr:sport_event:48855199,2024-06-09T16:00:00+00:00,sr:season:112442,Mauritania,Senegal,0,1,0.0,0.0
sr:sport_event:48855205,2025-09-04T19:00:00+00:00,sr:season:112442,Tunisia,Liberia,3,0,0.0,0.0
